Id,Submission Time,Vote Number,Question Id,Message,Image,Tag
1,1493398154,4,1,You need to use brackets: my_list = [],,
2,1493088154,35,1,Look it up in the Python docs,,
9,1609280957,0,1,haha,,
10,1609332206,0,2,test1,,
11,1609332215,0,2,333,,
12,1609348766,0,3,222,,
13,1609348772,0,3,111111,,
14,1609367689,0,2,Maybe this !,,
15,1609413219,0,1,whatever no pic,,
16,1609413664,0,1,Whatever with pic,ditu-china.png,
17,1609413834,0,1,test,up-arrow-4.png,
18,1609414107,0,1,new test,down-arrow-4.png,
19,1609421412,2,5,Tekst komentarza,delete_answer.png,Existentional
20,1609421988,0,4,"Sure, stay home!",archived_question.png,
21,1609493265,3,5,test test test,,Animal
1,1596314217,221,1,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget,
2,1600783729,372,38,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget,
3,1586464295,361,15,Maecenas leo odio, condimentum id,
4,1557320658,138,8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,,
5,1544659655,40,43,Quisque porta volutpat erat. Quisque erat eros, viverra eget,
6,1605012434,200,43,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut,
7,1571837839,79,39,Vestibulum quam sapien, varius ut,
8,1579612788,238,22,Vivamus metus arcu, adipiscing molestie,
9,1533874154,75,24,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed,
10,1595760726,59,39,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque,
11,1587694378,205,8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed,
12,1563009445,271,9,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at,
13,1586462610,163,23,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id,
14,1588043201,95,23,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,,
15,1604383020,20,46,Praesent blandit. Nam nulla. Integer pede justo, lacinia eget,
16,1538505822,14,41,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu,
17,1541749735,51,48,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non,
18,1572619811,233,27,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget,
